"term","idf","tfidf"
"hama","10.219721233781934","0.7020671782672148"
"hang","10.219721233781934","0.8520644340975984"
"fungsii","10.219721233781934","0.7383365417266529"
"fungsional","10.219721233781934","0.9028251903463472"
"harian","10.219721233781934","0.5399200017704805"
"harinya","10.219721233781934","0.37177690499785576"
"hatilah","10.219721233781934","0.5120422428809887"
"hmmmm","10.219721233781934","0.5906252349849661"
"hukum","10.219721233781934","0.5145914735494974"
"uangku","10.219721233781934","0.642226006122423"
"udaaa","10.219721233781934","0.6893135751014158"
"udahan","10.219721233781934","0.6092454427511087"
"uinstall","10.219721233781934","0.8004172441777819"
"ulasannya","10.219721233781934","0.807733933194937"
"alih","10.219721233781934","0.40177184260187526"
"always","10.219721233781934","0.6531812474694386"
"amal","10.219721233781934","0.6974209132991689"
"amit","10.219721233781934","0.877899798537808"
"unable","10.219721233781934","0.621005823531029"
"unfaedah","10.219721233781934","0.8126659173649656"
"uninstalled","10.219721233781934","0.6229048816033242"
"timbang","10.219721233781934","0.7274867821700539"
"tingkatin","10.219721233781934","0.7413329481583947"
"tipe","10.219721233781934","0.3568016699550428"
"tross","10.219721233781934","0.9676741304160931"
"andaikan","10.219721233781934","0.6866376155843259"
"tuju","10.219721233781934","0.42513386553288834"
"tujuannya","10.219721233781934","0.5197677999989038"
"tungguin","10.219721233781934","0.4111268050753269"
"tuntut","10.219721233781934","0.5363912303737826"
"turut","10.219721233781934","0.18625213431961596"
"tutor","10.219721233781934","0.8784640800969414"
"hutang","10.219721233781934","0.3891038513191101"
"ibarat","10.219721233781934","0.2806067605336431"
"features","10.219721233781934","0.5963560734771663"
"find","10.219721233781934","0.49755641755104035"
"fiture","10.219721233781934","0.7022656079030579"
"forclose","10.219721233781934","0.6970275042812204"
"from","10.219721233781934","0.4818488569153509"
"iklanin","10.219721233781934","0.6538237969766169"
"ilegal","10.219721233781934","0.6877265800677347"
"indah","10.219721233781934","0.9789573306906111"
"indikasi","10.219721233781934","0.409325313981894"
"terkirim","10.219721233781934","0.3256756099843105"
"terpenuhi","10.219721233781934","0.510215095848206"
"tersembunyi","10.219721233781934","0.42009513828220185"
"annya","10.219721233781934","0.614749136424989"
"anything","10.219721233781934","0.5917454031314808"
"apaann","10.219721233781934","0.5212868089586131"
"apaapa","10.219721233781934","0.9676741304160931"
"tetangga","10.219721233781934","0.4745185346230708"
"though","10.219721233781934","0.3667802634078876"
"tidaknya","10.219721233781934","0.6311584226596689"
"telusuri","10.219721233781934","0.9454717880123972"
"tembus","10.219721233781934","0.9454717880123972"
"tengok","10.219721233781934","0.7601920637599479"
"apcb","10.219721233781934","1.0"
"apik","10.219721233781934","1.0"
"terbalik","10.219721233781934","0.4678791023623578"
"terbayar","10.219721233781934","0.42253993906898235"
"teridentifikasi","10.219721233781934","0.6403032531344551"
"terjamin","10.219721233781934","0.9147520111129119"
"inikan","10.219721233781934","0.534705745329323"
